"Name","Office Time","property6.href","property6.text"
"George Washington","In office April 30, 1789[a] – March 4, 1797","https://en.wikipedia.org/wiki/John_Adams","John Adams"
"John Adams","In office March 4, 1797 – March 4, 1801","https://en.wikipedia.org/wiki/Thomas_Jefferson","Thomas Jefferson"
"Thomas Jefferson","In office March 4, 1801 – March 4, 1809","https://en.wikipedia.org/wiki/James_Madison","James Madison"
"James Madison","In office March 4, 1809 – March 4, 1817","https://en.wikipedia.org/wiki/James_Monroe","James Monroe"
"James Monroe","In office March 4, 1817 – March 4, 1825","https://en.wikipedia.org/wiki/John_Quincy_Adams","John Quincy Adams"
"John Quincy Adams","In office March 4, 1825 – March 4, 1829","https://en.wikipedia.org/wiki/Andrew_Jackson","Andrew Jackson"
"Andrew Jackson","In office March 4, 1829 – March 4, 1837","https://en.wikipedia.org/wiki/Martin_Van_Buren","Martin Van Buren"
"Martin Van Buren","In office March 4, 1837 – March 4, 1841","https://en.wikipedia.org/wiki/William_Henry_Harrison","William Henry Harrison"
"William Henry Harrison","In office March 4, 1841 – April 4, 1841","https://en.wikipedia.org/wiki/John_Tyler","John Tyler"
"John Tyler","In office April 4, 1841 – March 4, 1845","https://en.wikipedia.org/wiki/James_K._Polk","James K. Polk"
"James K. Polk","In office March 4, 1845 – March 4, 1849","https://en.wikipedia.org/wiki/Zachary_Taylor","Zachary Taylor"
"Zachary Taylor","In office March 4, 1849[a] – July 9, 1850","https://en.wikipedia.org/wiki/Millard_Fillmore","Millard Fillmore"
"Millard Fillmore","In office July 9, 1850 – March 4, 1853","https://en.wikipedia.org/wiki/Franklin_Pierce","Franklin Pierce"
"Franklin Pierce","In office March 4, 1853 – March 4, 1857","https://en.wikipedia.org/wiki/James_Buchanan","James Buchanan"
"James Buchanan","In office March 4, 1857 – March 4, 1861","https://en.wikipedia.org/wiki/Abraham_Lincoln","Abraham Lincoln"
"Abraham Lincoln","In office March 4, 1861 – April 15, 1865","https://en.wikipedia.org/wiki/Andrew_Johnson","Andrew Johnson"
"Andrew Johnson","In office April 15, 1865 – March 4, 1869","https://en.wikipedia.org/wiki/Ulysses_S._Grant","Ulysses S. Grant"
"Ulysses S. Grant","In office March 4, 1869 – March 4, 1877","https://en.wikipedia.org/wiki/Rutherford_B._Hayes","Rutherford B. Hayes"
"Rutherford B. Hayes","In office March 4, 1877 – March 4, 1881","https://en.wikipedia.org/wiki/James_A._Garfield","James A. Garfield"
"James A. Garfield","In office March 4, 1881 – September 19, 1881","https://en.wikipedia.org/wiki/Chester_A._Arthur","Chester A. Arthur"
"Chester A. Arthur","In office September 19, 1881 – March 4, 1885","https://en.wikipedia.org/wiki/Grover_Cleveland","Grover Cleveland"
"Grover Cleveland","In office March 4, 1893 – March 4, 1897","https://en.wikipedia.org/wiki/William_McKinley","William McKinley"
"Benjamin Harrison","In office March 4, 1889 – March 4, 1893","https://en.wikipedia.org/wiki/Grover_Cleveland","Grover Cleveland"
"William McKinley","In office March 4, 1897 – September 14, 1901","https://en.wikipedia.org/wiki/Theodore_Roosevelt","Theodore Roosevelt"
"Theodore Roosevelt","In office September 14, 1901 – March 4, 1909","https://en.wikipedia.org/wiki/William_Howard_Taft","William Howard Taft"
"William Howard Taft","In office March 4, 1909 – March 4, 1913","https://en.wikipedia.org/wiki/Woodrow_Wilson","Woodrow Wilson"
"Woodrow Wilson","In office March 4, 1913 – March 4, 1921","https://en.wikipedia.org/wiki/Warren_G._Harding","Warren G. Harding"
"Warren G. Harding","In office March 4, 1921 – August 2, 1923","https://en.wikipedia.org/wiki/Calvin_Coolidge","Calvin Coolidge"
"Calvin Coolidge","In office August 2, 1923 – March 4, 1929","https://en.wikipedia.org/wiki/Herbert_Hoover","Herbert Hoover"
"Herbert Hoover","In office March 4, 1929 – March 4, 1933","https://en.wikipedia.org/wiki/Franklin_D._Roosevelt","Franklin D. Roosevelt"
"Franklin D. Roosevelt","In office March 4, 1933 – April 12, 1945","https://en.wikipedia.org/wiki/Harry_S._Truman","Harry S. Truman"
"Harry S. Truman","In office April 12, 1945 – January 20, 1953","https://en.wikipedia.org/wiki/Dwight_D._Eisenhower","Dwight D. Eisenhower"
"Dwight David Eisenhower","In office January 20, 1953 – January 20, 1961","https://en.wikipedia.org/wiki/John_F._Kennedy","John F. Kennedy"
"John F. Kennedy","In office January 20, 1961 – November 22, 1963","https://en.wikipedia.org/wiki/Lyndon_B._Johnson","Lyndon B. Johnson"
"Lyndon B. Johnson","In office November 22, 1963 – January 20, 1969","https://en.wikipedia.org/wiki/Richard_Nixon","Richard Nixon"
"Richard Nixon","In office January 20, 1969 – August 9, 1974","https://en.wikipedia.org/wiki/Gerald_Ford","Gerald Ford"
"Gerald Ford","In office August 9, 1974 – January 20, 1977","https://en.wikipedia.org/wiki/Jimmy_Carter","Jimmy Carter"
"Jimmy Carter","In office January 20, 1977 – January 20, 1981","https://en.wikipedia.org/wiki/Ronald_Reagan","Ronald Reagan"
"Ronald Reagan","In office January 20, 1981 – January 20, 1989","https://en.wikipedia.org/wiki/George_H._W._Bush","George H. W. Bush"
"George H. W. Bush","In office January 20, 1989 – January 20, 1993","https://en.wikipedia.org/wiki/Bill_Clinton","Bill Clinton"
"Bill Clinton","In office January 20, 1993 – January 20, 2001","https://en.wikipedia.org/wiki/George_W._Bush","George W. Bush"
